Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015825157.1	helicase-like transcription factor	hltf	HLTF
XP_015825163.1	DENN domain-containing protein 1C-like isoform X2	LOC107392090	DENND1C
XP_015825164.1	ELAV-like protein 1 isoform X2	LOC107392098	ELAVL1
XP_015825165.1	receptor expression-enhancing protein 5-like	LOC107392099	REEP5
XP_015825167.1	GTP-binding protein Di-Ras1-like	LOC107392100	DIRAS3
XP_015825167.1	GTP-binding protein Di-Ras1-like	LOC107392100	DIRAS1
XP_015825167.1	GTP-binding protein Di-Ras1-like	LOC107392100	DIRAS2
XP_015825169.1	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	gng7	GNG7
XP_015825169.1	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	gng7	GNG12
XP_015825170.1	ankyrin repeat and KH domain-containing protein 1-like isoform X2	LOC107392015	ANKRD17
XP_015825170.1	ankyrin repeat and KH domain-containing protein 1-like isoform X2	LOC107392015	ANKHD1-EIF4EBP3
XP_015825172.1	autophagy-related protein 9A isoform X1	atg9a	ATG9A
XP_015825172.1	autophagy-related protein 9A isoform X1	atg9a	ENSG00000284820
XP_015825173.1	autophagy-related protein 9A isoform X2	atg9a	ATG9A
XP_015825175.1	A-kinase anchor protein 9-like isoform X2	LOC107392105	PCNT
XP_015825176.1	pericentrin-like isoform X3	LOC107392105	PCNT
XP_015825177.1	pericentrin-like isoform X4	LOC107392105	PCNT
XP_015825178.1	pericentrin-like isoform X5	LOC107392105	PCNT
XP_015825179.1	pericentrin-like isoform X6	LOC107392105	PCNT
XP_015825180.1	pericentrin-like isoform X7	LOC107392105	PCNT
XP_015825182.1	transformer-2 protein homolog alpha-like	LOC107392108	TRA2A
XP_015825183.1	UDP-glucose:glycoprotein glucosyltransferase 1 isoform X1	uggt1	UGGT1
XP_015825184.1	UDP-glucose:glycoprotein glucosyltransferase 1 isoform X2	uggt1	UGGT1
XP_015825186.1	transcription factor Sp3-like isoform X2	LOC107392110	SP3
XP_015825188.1	heparan-sulfate 6-O-sulfotransferase 1	hs6st1	HS6ST1
XP_015825191.1	transportin-2	LOC107392112	TNPO2
XP_015825192.1	D-2-hydroxyglutarate dehydrogenase, mitochondrial	d2hgdh	D2HGDH
XP_015825195.1	single-stranded DNA-binding protein 3-like isoform X1	LOC107392119	SSBP4
XP_015825195.1	single-stranded DNA-binding protein 3-like isoform X1	LOC107392119	SSBP3
XP_015825197.1	single-stranded DNA-binding protein 3-like isoform X3	LOC107392119	SSBP4
XP_015825197.1	single-stranded DNA-binding protein 3-like isoform X3	LOC107392119	SSBP3
XP_015825201.1	cytokine receptor-like factor 1 isoform X3	crlf1	CRLF1
XP_015825207.1	interleukin-27 subunit beta	ebi3	EBI3
XP_015825212.1	nardilysin	nrdc	NRDC
XP_015825214.1	programmed cell death protein 10	pdcd10	PDCD10
XP_015825215.1	inositol-3-phosphate synthase 1	isyna1	ISYNA1
XP_015825216.1	tubulin polyglutamylase complex subunit 1	tpgs1	TPGS1
XP_015825221.1	guanine nucleotide-binding protein subunit alpha-11 isoform X3	LOC107392134	GNA11
XP_015825221.1	guanine nucleotide-binding protein subunit alpha-11 isoform X3	LOC107392134	GNA15
XP_015825224.1	phospholipid phosphatase 2 isoform X2	plpp2	PLPP2
XP_015825229.1	interleukin-6 receptor subunit beta-like isoform X2	LOC107392137	IL31RA
XP_015825235.1	coiled-coil domain-containing protein 94	ccdc94	YJU2
XP_015825247.1	ubiquitin carboxyl-terminal hydrolase 40	usp40	USP40
XP_015825250.1	calcium-binding mitochondrial carrier protein SCaMC-1-like isoform X2	LOC107392138	SLC25A23
XP_015825252.1	tyrosine-protein kinase fyna	LOC107392150	FYN
XP_015825252.1	tyrosine-protein kinase fyna	LOC107392150	PTK6
XP_015825253.1	myristoylated alanine-rich C-kinase substrate	marcks	MARCKS
XP_015825255.1	ankyrin repeat and KH domain-containing protein 1-like isoform X3	LOC107392015	ANKRD17
XP_015825255.1	ankyrin repeat and KH domain-containing protein 1-like isoform X3	LOC107392015	ANKHD1
XP_015825256.1	collagen alpha-1(X) chain-like isoform X1	LOC107392152	COL10A1
XP_015825260.1	alpha-(1,3)-fucosyltransferase 9-like	LOC107392154	FUT6
XP_015825260.1	alpha-(1,3)-fucosyltransferase 9-like	LOC107392154	FUT3
XP_015825264.1	alpha-(1,3)-fucosyltransferase 9	fut9	FUT9
XP_015825269.1	glycoprotein endo-alpha-1,2-mannosidase-like	LOC107392157	MANEA
XP_015825270.1	serine/threonine-protein phosphatase PP1-beta catalytic subunit	ppp1cb	PPP1CB
XP_015825271.1	phospholipase B1, membrane-associated	plb1	PLB1
XP_015825272.1	lysocardiolipin acyltransferase 1	lclat1	LCLAT1
XP_015825274.1	protein yippee-like 5	LOC107392162	YPEL5
XP_015825275.1	protein LBH	lbh	LBH
XP_015825277.1	bone morphogenetic protein 4	bmp4	BMP4
XP_015825278.1	phospholipase DDHD1 isoform X1	ddhd1	DDHD1
XP_015825279.1	phospholipase DDHD1 isoform X2	ddhd1	DDHD1
XP_015825280.1	fermitin family homolog 2 isoform X1	fermt2	FERMT2
XP_015825281.1	fermitin family homolog 2 isoform X2	fermt2	FERMT2
XP_015825282.1	fermitin family homolog 2 isoform X3	fermt2	FERMT2
XP_015825283.1	fermitin family homolog 2 isoform X4	fermt2	FERMT3
XP_015825283.1	fermitin family homolog 2 isoform X4	fermt2	FERMT2
XP_015825283.1	fermitin family homolog 2 isoform X4	fermt2	FERMT1
XP_015825286.1	leydig cell tumor 10 kDa protein homolog	csgr02h19orf53	C19orf53
XP_015825287.1	syntaxin-binding protein 6 isoform X3	stxbp6	STXBP6
XP_015825288.1	actin, alpha cardiac muscle 1	actc1	ACTC1
XP_015825288.1	actin, alpha cardiac muscle 1	actc1	ACTA1
XP_015825289.1	gap junction delta-2 protein	gjd2	GJD2
XP_015825291.1	intron-binding protein aquarius isoform X2	aqr	AQR
XP_015825292.1	diphthine--ammonia ligase isoform X1	dph6	DPH6
XP_015825293.1	diphthine--ammonia ligase isoform X2	dph6	DPH6
XP_015825294.1	uncharacterized protein C15orf41 homolog	csgr16h15orf41	CDIN1
XP_015825295.1	homeobox protein Meis2 isoform X1	meis2	MEIS2
XP_015825296.1	methylthioribose-1-phosphate isomerase	mri1	MRI1
XP_015825298.1	homeobox protein Meis2 isoform X3	meis2	MEIS2
XP_015825300.1	homeobox protein Meis2 isoform X5	meis2	MEIS2
XP_015825300.1	homeobox protein Meis2 isoform X5	meis2	MEIS3
XP_015825301.1	homeobox protein Meis2 isoform X6	meis2	MEIS2
XP_015825301.1	homeobox protein Meis2 isoform X6	meis2	MEIS3
XP_015825303.1	sprouty-related, EVH1 domain-containing protein 1 isoform X1	spred1	SPRED1
XP_015825306.1	tyrosine-protein phosphatase non-receptor type 21 isoform X2	ptpn21	PTPN21
XP_015825307.1	spermatogenesis-associated protein 7 isoform X1	spata7	SPATA7
XP_015825309.1	spermatogenesis-associated protein 7 isoform X3	spata7	SPATA7
XP_015825310.1	spermatogenesis-associated protein 7 isoform X4	spata7	SPATA7
XP_015825311.1	coiled-coil and C2 domain-containing protein 1A	cc2d1a	CC2D1A
XP_015825312.1	protein FAM98B	fam98b	FAM98B
XP_015825313.1	potassium channel subfamily K member 10 isoform X1	kcnk10	KCNK10
XP_015825314.1	potassium channel subfamily K member 10 isoform X2	kcnk10	KCNK10
XP_015825318.1	B2 bradykinin receptor-like	LOC107392186	BDKRB1
XP_015825318.1	B2 bradykinin receptor-like	LOC107392186	BDKRB2
XP_015825319.1	uncharacterized protein C14orf132 homolog	csgr16h14orf132	C14orf132
XP_015825322.1	N-sulphoglucosamine sulphohydrolase	sgsh	SGSH
XP_015825323.1	kelch domain-containing protein 1	klhdc1	KLHDC1
XP_015825324.1	DNA polymerase epsilon subunit 2	pole2	POLE2
XP_015825325.1	nuclear export mediator factor NEMF	nemf	NEMF
XP_015825326.1	WD repeat-containing protein 20	wdr20	WDR20
XP_015825326.1	WD repeat-containing protein 20	wdr20	DMWD
XP_015825326.1	WD repeat-containing protein 20	wdr20	ENSG00000268434
XP_015825328.1	MAPK/MAK/MRK overlapping kinase isoform X2	mok	MOK
XP_015825329.1	kelch domain-containing protein 2 isoform X1	klhdc2	KLHDC2
XP_015825330.1	kelch domain-containing protein 2 isoform X2	klhdc2	KLHDC1
XP_015825330.1	kelch domain-containing protein 2 isoform X2	klhdc2	KLHDC2
XP_015825332.1	cytoplasmic dynein 1 heavy chain 1 isoform X1	dync1h1	DYNC1H1
XP_015825333.1	cytoplasmic dynein 1 heavy chain 1 isoform X2	dync1h1	DYNC1H1
XP_015825336.1	cell cycle control protein 50B-like	LOC107392200	TMEM30B
XP_015825337.1	lysine-specific histone demethylase 1A isoform X1	kdm1a	KDM1A
XP_015825338.1	lysine-specific histone demethylase 1A isoform X2	kdm1a	KDM1A
XP_015825339.1	ankyrin repeat and KH domain-containing protein 1-like isoform X4	LOC107392015	ANKHD1
XP_015825339.1	ankyrin repeat and KH domain-containing protein 1-like isoform X4	LOC107392015	ANKRD17
XP_015825341.1	lysine-specific histone demethylase 1A isoform X4	kdm1a	KDM1A
XP_015825342.1	lysine-specific histone demethylase 1A isoform X5	kdm1a	KDM1A
XP_015825343.1	leucine zipper protein 1	luzp1	LUZP1
XP_015825346.1	platelet-activating factor receptor-like	LOC107392203	PTAFR
XP_015825351.1	protein quaking-A isoform X4	LOC107392205	QKI
XP_015825352.1	protein quaking-A isoform X5	LOC107392205	QKI
XP_015825354.1	sodium-independent sulfate anion transporter	slc26a11	SLC26A11
XP_015825356.1	transcription cofactor vestigial-like protein 2	LOC107392207	VGLL1
XP_015825357.1	YTH domain-containing family protein 2	ythdf2	YTHDF2
XP_015825359.1	DNA-binding protein inhibitor ID-3	id3	ID3
XP_015825360.1	transcription factor E2F2	e2f2	E2F2
XP_015825361.1	arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2-like	LOC107392212	ASAP3
XP_015825362.1	ribosomal protein S6 kinase alpha-1 isoform X1	rps6ka1	RPS6KA2
XP_015825362.1	ribosomal protein S6 kinase alpha-1 isoform X1	rps6ka1	RPS6KA1
XP_015825363.1	ribosomal protein S6 kinase alpha-1 isoform X2	rps6ka1	RPS6KA1
XP_015825364.1	ribosomal protein S6 kinase alpha-1 isoform X3	rps6ka1	RPS6KA1
XP_015825364.1	ribosomal protein S6 kinase alpha-1 isoform X3	rps6ka1	RPS6KA2
XP_015825365.1	connector enhancer of kinase suppressor of ras 1 isoform X1	cnksr1	CNKSR1
XP_015825366.1	neuropeptide B	npb	NPB
XP_015825366.1	neuropeptide B	npb	NPW
XP_015825367.1	connector enhancer of kinase suppressor of ras 1 isoform X2	cnksr1	CNKSR1
XP_015825373.1	grainyhead-like protein 3 homolog	grhl3	GRHL3
XP_015825374.1	NIPA-like protein 3	nipal3	NIPAL3
XP_015825375.1	calcipressin-3	rcan3	RCAN2
XP_015825375.1	calcipressin-3	rcan3	RCAN3
XP_015825377.1	brain-enriched guanylate kinase-associated protein isoform X1	begain	BEGAIN
XP_015825378.1	brain-enriched guanylate kinase-associated protein isoform X2	begain	BEGAIN
XP_015825379.1	tryptophan--tRNA ligase, cytoplasmic	wars	WARS1
XP_015825381.1	WD repeat-containing protein 25	wdr25	WDR25
XP_015825384.1	doublecortin domain-containing protein 2B isoform X3	dcdc2b	DCDC2B
XP_015825385.1	ethanolamine-phosphate cytidylyltransferase	pcyt2	PCYT2
XP_015825386.1	doublecortin domain-containing protein 2B isoform X4	dcdc2b	DCDC2
XP_015825386.1	doublecortin domain-containing protein 2B isoform X4	dcdc2b	DCDC2C
XP_015825388.1	mitochondrial basic amino acids transporter isoform X2	slc25a29	SLC25A29
XP_015825390.1	IQ domain-containing protein C isoform X1	iqcc	IQCC
XP_015825392.1	transmembrane protein 234	tmem234	TMEM234
XP_015825393.1	protein delta homolog 1	dlk1	DLK1
XP_015825395.1	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X1	ppp2r5c	PPP2R5C
XP_015825396.1	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X2	ppp2r5c	PPP2R5C
XP_015825397.1	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X3	ppp2r5c	PPP2R5D
XP_015825397.1	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X3	ppp2r5c	PPP2R5C
XP_015825399.1	5-hydroxytryptamine receptor 1D-like	LOC107392235	HTR1D
XP_015825400.1	zinc finger protein 503	znf503	ZNF503
XP_015825400.1	zinc finger protein 503	znf503	ZNF703
XP_015825401.1	CAAX prenyl protease 1 homolog	zmpste24	ZMPSTE24
XP_015825402.1	60S ribosomal protein L13a	rpl13a	RPL13A
XP_015825403.1	ATPase inhibitor B, mitochondrial-like	LOC107392239	ATP5IF1
XP_015825404.1	zinc finger protein Rlf	rlf	RLF
XP_015825406.1	zinc finger protein 593	znf593	ZNF593
XP_015825407.1	selenoprotein N isoform X1	sepn1	SELENON
XP_015825407.1	selenoprotein N isoform X1	sepn1	ENSG00000255054
XP_015825408.1	selenoprotein N isoform X2	sepn1	SELENON
XP_015825409.1	NAD-dependent protein deacetylase sirtuin-7	sirt7	SIRT7
XP_015825413.1	mitochondrial fission regulator 1-like	mtfr1l	MTFR1L
XP_015825415.1	SH3 and cysteine-rich domain-containing protein isoform X2	stac	STAC
XP_015825417.1	tonsoku-like protein	tonsl	TONSL
XP_015825418.1	gamma-aminobutyric acid receptor subunit rho-1-like isoform X1	LOC107392250	GABRR1
XP_015825419.1	gamma-aminobutyric acid receptor subunit rho-1-like isoform X2	LOC107392250	GABRR1
XP_015825422.1	ankyrin repeat and KH domain-containing protein 1-like isoform X5	LOC107392015	ANKHD1
XP_015825424.1	origin recognition complex subunit 3 isoform X2	orc3	ORC3
XP_015825426.1	zinc finger protein 292	znf292	ZNF292
XP_015825427.1	glycoprotein hormones alpha chain	cga	CGA
XP_015825428.1	sorting nexin-14 isoform X1	snx14	SNX14
XP_015825429.1	sorting nexin-14 isoform X2	snx14	SNX14
XP_015825430.1	sorting nexin-14 isoform X3	snx14	SNX14
XP_015825431.1	sorting nexin-14 isoform X4	snx14	SNX14
XP_015825433.1	heterogeneous nuclear ribonucleoprotein Q isoform X1	syncrip	SYNCRIP
XP_015825433.1	heterogeneous nuclear ribonucleoprotein Q isoform X1	syncrip	ENSG00000271793
XP_015825433.1	heterogeneous nuclear ribonucleoprotein Q isoform X1	syncrip	HNRNPR
XP_015825434.1	heterogeneous nuclear ribonucleoprotein Q isoform X2	syncrip	SYNCRIP
XP_015825437.1	interphotoreceptor matrix proteoglycan 2-like isoform X2	LOC107392259	IMPG1
XP_015825438.1	interphotoreceptor matrix proteoglycan 2-like isoform X3	LOC107392259	IMPG1
XP_015825439.1	interphotoreceptor matrix proteoglycan 1-like isoform X4	LOC107392259	IMPG1
XP_015825440.1	unconventional myosin-VI-like isoform X1	LOC107392260	MYO6
XP_015825441.1	transcription factor MafG isoform X2	mafg	MAFF
XP_015825441.1	transcription factor MafG isoform X2	mafg	MAFG
XP_015825442.1	unconventional myosin-VI-like isoform X2	LOC107392260	MYO6
XP_015825443.1	collectin-11 isoform X1	colec11	SFTPA1
XP_015825443.1	collectin-11 isoform X1	colec11	SFTPA2
XP_015825444.1	collectin-11 isoform X2	colec11	MBL2
XP_015825444.1	collectin-11 isoform X2	colec11	COLEC11
XP_015825444.1	collectin-11 isoform X2	colec11	SFTPD
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF775
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	PEG3
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZKSCAN1
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF32
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF345
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF91
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF174
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF613
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF396
XP_015825447.1	gastrula zinc finger protein XlCGF49.1-like	LOC107392263	ZNF350
XP_015825448.1	transcription factor SOX-11	sox11	SOX11
XP_015825449.1	UMP-CMP kinase 2, mitochondrial	cmpk2	CMPK2
XP_015825450.1	radical S-adenosyl methionine domain-containing protein 2	rsad2	RSAD2
XP_015825452.1	E3 ubiquitin-protein ligase RNF144A	rnf144a	RNF144A
XP_015825452.1	E3 ubiquitin-protein ligase RNF144A	rnf144a	RNF144B
XP_015825455.1	kinase D-interacting substrate of 220 kDa isoform X1	kidins220	RNASEL
XP_015825455.1	kinase D-interacting substrate of 220 kDa isoform X1	kidins220	KIDINS220
XP_015825456.1	kinase D-interacting substrate of 220 kDa isoform X2	kidins220	KIDINS220
XP_015825457.1	kinase D-interacting substrate of 220 kDa isoform X3	kidins220	KIDINS220
XP_015825458.1	kinase D-interacting substrate of 220 kDa isoform X4	kidins220	KIDINS220
XP_015825459.1	lysophospholipid acyltransferase 2 isoform X1	mboat2	MBOAT4
XP_015825459.1	lysophospholipid acyltransferase 2 isoform X1	mboat2	MBOAT2
XP_015825460.1	lysophospholipid acyltransferase 2 isoform X2	mboat2	MBOAT2
XP_015825461.1	DNA-binding protein inhibitor ID-2	id2	ID2
XP_015825462.1	pyrroline-5-carboxylate reductase 1, mitochondrial	pycr1	PYCR1
XP_015825462.1	pyrroline-5-carboxylate reductase 1, mitochondrial	pycr1	ENSG00000255835
XP_015825462.1	pyrroline-5-carboxylate reductase 1, mitochondrial	pycr1	PYCR2
XP_015825465.1	arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 isoform X3	asap2	ASAP2
XP_015825466.1	arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 isoform X4	asap2	ASAP2
XP_015825467.1	cleavage and polyadenylation specificity factor subunit 3 isoform X1	cpsf3	CPSF3
XP_015825469.1	integrin beta-1-binding protein 1	itgb1bp1	ITGB1BP1
XP_015825470.1	leucine-rich repeat protein 1	lrr1	LRR1
XP_015825471.1	protein kintoun	dnaaf2	DNAAF2
XP_015825472.1	Krueppel-like factor 11	klf11	KLF11
XP_015825472.1	Krueppel-like factor 11	klf11	KLF10
XP_015825473.1	grainyhead-like protein 1 homolog isoform X1	grhl1	GRHL3
XP_015825473.1	grainyhead-like protein 1 homolog isoform X1	grhl1	GRHL1
XP_015825474.1	grainyhead-like protein 1 homolog isoform X2	grhl1	GRHL3
XP_015825474.1	grainyhead-like protein 1 homolog isoform X2	grhl1	GRHL1
XP_015825476.1	grainyhead-like protein 1 homolog isoform X3	grhl1	GRHL3
XP_015825476.1	grainyhead-like protein 1 homolog isoform X3	grhl1	GRHL1
XP_015825477.1	bromo adjacent homology domain-containing 1 protein	bahd1	BAHD1
XP_015825478.1	isovaleryl-CoA dehydrogenase, mitochondrial	ivd	IVD
XP_015825479.1	inositol-trisphosphate 3-kinase A	itpka	ITPKA
XP_015825480.1	leukocyte tyrosine kinase receptor-like	LOC107392283	LTK
XP_015825480.1	leukocyte tyrosine kinase receptor-like	LOC107392283	ALK
XP_015825481.1	RNA polymerase II-associated protein 1 isoform X1	rpap1	RPAP1
XP_015825482.1	RNA polymerase II-associated protein 1 isoform X2	rpap1	RPAP1
XP_015825483.1	RNA polymerase II-associated protein 1 isoform X3	rpap1	RPAP1
XP_015825484.1	disintegrin and metalloproteinase domain-containing protein 17 isoform X1	adam17	ADAM17
XP_015825487.1	tether containing UBX domain for GLUT4 isoform X1	aspscr1	ASPSCR1
XP_015825488.1	isoamyl acetate-hydrolyzing esterase 1 homolog isoform X1	iah1	IAH1
XP_015825489.1	isoamyl acetate-hydrolyzing esterase 1 homolog isoform X2	iah1	IAH1
XP_015825491.1	protein dispatched homolog 2	disp2	DISP2
XP_015825492.1	RNA pseudouridylate synthase domain-containing protein 2 isoform X1	rpusd2	RPUSD2
XP_015825496.1	tether containing UBX domain for GLUT4 isoform X2	aspscr1	ASPSCR1
XP_015825497.1	uncharacterized protein C15orf57 homolog	csgr16h15orf57	CCDC32
XP_015825499.1	extracellular tyrosine-protein kinase PKDCC isoform X2	pkdcc	PKDCC
XP_015825500.1	echinoderm microtubule-associated protein-like 1 isoform X1	LOC107392295	EML1
XP_015825501.1	echinoderm microtubule-associated protein-like 1 isoform X2	LOC107392295	EML2
XP_015825502.1	echinoderm microtubule-associated protein-like 1 isoform X3	LOC107392295	EML1
XP_015825503.1	echinoderm microtubule-associated protein-like 1 isoform X4	LOC107392295	EML1
XP_015825504.1	echinoderm microtubule-associated protein-like 1 isoform X5	LOC107392295	EML1
XP_015825505.1	echinoderm microtubule-associated protein-like 1 isoform X6	LOC107392295	EML1
XP_015825505.1	echinoderm microtubule-associated protein-like 1 isoform X6	LOC107392295	EML2
XP_015825506.1	tether containing UBX domain for GLUT4 isoform X3	aspscr1	ASPSCR1
XP_015825511.1	ankyrin repeat and KH domain-containing protein 1-like isoform X6	LOC107392015	ANKHD1-EIF4EBP3
XP_015825514.1	transcriptional repressor protein YY1-like	LOC107392297	ZFP42
XP_015825514.1	transcriptional repressor protein YY1-like	LOC107392297	ZSCAN31
XP_015825514.1	transcriptional repressor protein YY1-like	LOC107392297	YY1
XP_015825515.1	sphingolipid delta(4)-desaturase/C4-monooxygenase DES2	degs2	DEGS2
XP_015825516.1	tripeptidyl-peptidase 1	tpp1	TPP1
XP_015825517.1	mis18-binding protein 1 isoform X1	mis18bp1	MIS18BP1
XP_015825519.1	hypoxia-inducible factor 1-alpha	hif1a	HIF1A
XP_015825521.1	serine protease HTRA2, mitochondrial-like	LOC107392303	HTRA2
XP_015825522.1	protein kinase C eta type isoform X1	prkch	ENSG00000258989
XP_015825522.1	protein kinase C eta type isoform X1	prkch	PRKCH
XP_015825523.1	protein kinase C eta type isoform X2	prkch	PRKCH
XP_015825525.1	homeobox protein SIX4	six4	SIX4
XP_015825525.1	homeobox protein SIX4	six4	SIX5
XP_015825526.1	tRNA (guanine(37)-N1)-methyltransferase	trmt5	TRMT5
XP_015825528.1	probable sodium-coupled neutral amino acid transporter 6	slc38a6	SLC38A6
XP_015825529.1	CDK-activating kinase assembly factor MAT1 isoform X1	mnat1	MNAT1
XP_015825530.1	CDK-activating kinase assembly factor MAT1 isoform X2	mnat1	MNAT1
XP_015825531.1	homeobox protein SIX1	six1	ANHX
XP_015825531.1	homeobox protein SIX1	six1	SIX1
XP_015825532.1	homeobox protein SIX6	six6	SIX6
XP_015825533.1	protein phosphatase 1A isoform X1	ppm1a	PPM1A
XP_015825535.1	protein phosphatase 1A isoform X3	ppm1a	PPM1A
XP_015825536.1	transmembrane channel-like protein 6	tmc6	TMC6
XP_015825537.1	leucine-rich repeat-containing protein 9-like	LOC107392313	LRRC9
XP_015825537.1	leucine-rich repeat-containing protein 9-like	LOC107392313	CEP72
XP_015825537.1	leucine-rich repeat-containing protein 9-like	LOC107392313	LRRC72
XP_015825539.1	pecanex-like protein 4	pcnx4	PCNX4
XP_015825540.1	dehydrogenase/reductase SDR family member 7	dhrs7	DHRS7
XP_015825541.1	putative ATP-dependent RNA helicase TDRD9	tdrd9	TDRD9
XP_015825542.1	reticulon-1 isoform X1	rtn1	RTN1
XP_015825543.1	reticulon-1 isoform X2	rtn1	RTN1
XP_015825544.1	reticulon-1 isoform X3	rtn1	RTN2
XP_015825544.1	reticulon-1 isoform X3	rtn1	RTN1
XP_015825546.1	kinesin-like protein KIF15	kif15	KIF15
XP_015825548.1	transforming acidic coiled-coil-containing protein 3	tacc3	TACC3
XP_015825549.1	fibroblast growth factor receptor-like 1	LOC107392322	FGFRL1
XP_015825551.1	lateral signaling target protein 2 homolog isoform X1	zfyve28	ZFYVE28
XP_015825552.1	lateral signaling target protein 2 homolog isoform X2	zfyve28	ZFYVE28
XP_015825553.1	lateral signaling target protein 2 homolog isoform X3	zfyve28	ZFYVE28
XP_015825555.1	cilia- and flagella-associated protein 99 isoform X2	cfap99	CFAP99
XP_015825558.1	receptor expression-enhancing protein 1 isoform X2	reep1	REEP1
XP_015825559.1	receptor expression-enhancing protein 1 isoform X3	reep1	REEP1
XP_015825560.1	receptor expression-enhancing protein 1 isoform X4	reep1	REEP1
XP_015825560.1	receptor expression-enhancing protein 1 isoform X4	reep1	REEP2
XP_015825561.1	palmitoleoyl-protein carboxylesterase NOTUM	notum	NOTUM
XP_015825562.1	39S ribosomal protein L35, mitochondrial	mrpl35	MRPL35
XP_015825563.1	charged multivesicular body protein 3	chmp3	CHMP3
XP_015825563.1	charged multivesicular body protein 3	chmp3	RNF103-CHMP3
XP_015825564.1	heat shock 70 kDa protein 4L	hspa4l	HSPA4L
XP_015825566.1	serine/threonine-protein kinase PLK4	plk4	PLK4
XP_015825568.1	BTB/POZ domain-containing protein 7	btbd7	BTBD7
XP_015825569.1	protein unc-79 homolog isoform X1	unc79	UNC79
XP_015825570.1	protein unc-79 homolog isoform X2	unc79	UNC79
XP_015825572.1	proline-rich membrane anchor 1	prima1	PRIMA1
XP_015825573.1	ankyrin repeat and SOCS box protein 2 isoform X1	asb2	ASB2
XP_015825575.1	protein FAM181A	fam181a	FAM181A
XP_015825576.1	coiled-coil domain-containing protein 42 homolog	LOC107392341	CCDC197
XP_015825576.1	coiled-coil domain-containing protein 42 homolog	LOC107392341	CCDC42
XP_015825576.1	coiled-coil domain-containing protein 42 homolog	LOC107392341	CFAP73
XP_015825577.1	E3 ubiquitin-protein ligase UBR1	ubr1	UBR1
XP_015825578.1	ATP-dependent RNA helicase DDX24	ddx24	DDX24
XP_015825580.1	protein Z-dependent protease inhibitor-like	LOC107392345	SERPINA10
XP_015825581.1	ataxin-3-like	LOC107392346	ATXN3
XP_015825581.1	ataxin-3-like	LOC107392346	ATXN3L
XP_015825586.1	nutritionally-regulated adipose and cardiac enriched protein homolog isoform X1	csgr16h14orf180	C14orf180
XP_015825588.1	transmembrane protein 179	tmem179	TMEM179
XP_015825589.1	kinesin-like protein KIF26A isoform X1	kif26a	KIF26A
XP_015825590.1	ankyrin repeat and KH domain-containing protein 1-like isoform X7	LOC107392015	ANKHD1
XP_015825594.1	60 kDa lysophospholipase isoform X3	aspg	ASPG
XP_015825595.1	60 kDa lysophospholipase isoform X4	aspg	ASPG
XP_015825598.1	ADP-ribosylation factor 6	LOC107392355	ARF6
XP_015825600.1	kinectin isoform X1	ktn1	KTN1
XP_015825601.1	kinectin isoform X2	ktn1	KTN1
XP_015825602.1	kinectin isoform X3	ktn1	KTN1
XP_015825603.1	kinectin isoform X4	ktn1	KTN1
XP_015825604.1	kinectin isoform X5	ktn1	KTN1
XP_015825605.1	kinectin isoform X6	ktn1	KTN1
XP_015825607.1	mutS protein homolog 4	msh4	MSH4
XP_015825608.1	protein-lysine methyltransferase METTL21D	vcpkmt	VCPKMT
XP_015825609.1	E3 ubiquitin-protein ligase pellino homolog 2-like	LOC107392360	PELI2
XP_015825610.1	transmembrane protein 260 isoform X1	tmem260	TMEM260
XP_015825611.1	transmembrane protein 260 isoform X2	tmem260	TMEM260
XP_015825612.1	homeobox protein OTX2	LOC107392362	OTX2
XP_015825613.1	exocyst complex component 5	exoc5	EXOC5
XP_015825614.1	AP-5 complex subunit mu-1	ap5m1	AP5M1
XP_015825615.1	synaptogyrin-2	syngr2	SYNGR4
XP_015825616.1	solute carrier family 35 member F4 isoform X1	slc35f4	SLC35F4
XP_015825617.1	solute carrier family 35 member F4 isoform X2	slc35f4	SLC35F4
